Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,0.809,0.655,0.036,1.0,127.106514389986,127.070514389986,0.3943424907361619
2,0.823,0.68,0.032,1.0,125.63775717424099,125.60575717424099,0.3656897592222128
3,0.832,0.697,0.03,1.0,124.65430988265697,124.62430988265697,0.3464577896367753
4,0.874,0.763,0.016,1.0,120.474140475937,120.458140475937,0.268411996751263
5,0.853,0.73,0.023,1.0,122.575344806881,122.55234480688101,0.30742316113136303
6,1.09,1.183,0.01,1.0,94.802624691121,94.79262469112099,0.20393381279228817
7,0.846,0.712,0.025,1.0,123.517862443792,123.49286244379199,0.3265884260043519
8,0.859,0.748,0.031,1.0,121.67155794417701,121.640557944177,0.28876461001999537
9,0.917,0.824,0.034,1.0,116.34777277489698,116.31377277489698,0.19458931111445976
10,0.971,0.96,0.03,1.0,108.843836631281,108.81383663128099,0.04940647730814254
11,0.896,0.791,0.025,1.0,118.48827650761699,118.46327650761698,0.23344592521609792
12,1.16,1.348,0.027,1.0,85.179973186816,85.152973186816,0.38301958174485023
13,0.934,0.858,0.027,1.0,114.333451673632,114.306451673632,0.15658863304850706
14,0.925,0.842,0.024,1.0,115.328522993921,115.304522993921,0.17489711261195826
15,0.977,0.937,0.029,1.0,109.43558794880198,109.40658794880198,0.06706713054842882
RESUMEN,,,,,85.179973186816,115.19990223505053,0.04940647730814254
