Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,0.986,0.973,0.0,1.0,107.66671086585701,107.66671086585701,0.030413812651491127
2,1.005,1.008,0.0,1.0,105.465678592721,105.465678592721,0.009433981132056552
3,1.012,1.024,0.0,1.0,104.53363529651199,104.53363529651199,0.0268328157299975
4,0.994,0.989,0.0,1.0,106.693446583937,106.693446583937,0.01252996408614168
5,1.018,1.037,0.0,1.0,103.76057217913701,103.76057217913701,0.0411460812228819
6,0.979,0.957,0.001,1.0,108.59177895728202,108.59077895728201,0.04785394445602163
7,0.971,0.942,0.001,1.0,109.52254435177701,109.52154435177701,0.06484597134749395
8,1.031,1.06,0.001,1.0,102.279722567521,102.278722567521,0.06753517601961219
9,0.961,0.923,0.002,1.0,110.69188336248202,110.68988336248202,0.08631338250816031
10,1.037,1.073,0.002,1.0,101.50354917240203,101.50154917240204,0.08184130986244043
11,0.953,0.908,0.002,1.0,111.61689940297698,111.61489940297699,0.10331021246711285
12,0.947,0.896,0.003,1.0,112.336798144337,112.333798144337,0.11672617529928753
13,1.06,1.123,0.004,1.0,98.513845394641,98.50984539464099,0.13685393673548454
14,0.93,0.865,0.005,1.0,114.25604316062498,114.25104316062499,0.15206906325745548
15,0.922,0.849,0.006,1.0,115.20661956465702,115.20061956465702,0.16995587662684689
RESUMEN,,,,,98.513845394641,107.50751517312433,0.009433981132056552
