RONDES,Distància M1,Distància M2,Distància M3,Distància M4,MAE,FUNC
2,0.65,0.38,0.28,0.34,0.0,2.94
3,0.27,0.14,0.07,0.17,0.0,0.31
4,0.06,0.04,0.03,0.06,15000.2,1972.12
5,0.02,0.01,0.02,0.03,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
