ROUNDS,MAE,Distance M1,Distance M2,Distance M3,Distance M4
R0,0.0,2.424953607803663,1.2858716887776942,2.9564650982042733,2.6857519477606266
R1,679.7521820350813,2.891561861693434,1.7688451034502708,0.625307924146176,1.9397798844198795
R2,0.004409371495469027,0.6506919393998977,0.37797486688932136,0.2818527984604729,0.3424047312757228
R3,0.004503842260399249,0.27060118255469623,0.14042791745233607,0.06876772498781678,0.16589454481688048
R4,1.3120943772820004,0.06139218191268334,0.03862641583165589,0.032249030993194226,0.06400000000000006
R5,0.0005731025353332153,0.019313207915827815,0.005999999999999783,0.016999999999999904,0.03228002478313784
R6,0.0003463963199999712,0.0022360679774995436,0.004123105625617745,0.0028284271247461927,0.0040000000000000036
