Number;X;Y;R1;Desirability
1;-3.739;-3.004;2.946;1
2;-3.119;2.841;6.672;1
3;-3.54;-3.45;5.537;1
4;3.9;-1.409;9.088;1
5;3.788;-2.123;3.165;1
6;-3.45;3.21;16.934;1
7;-2.932;3.487;6.15;1
8;3.653;-1.189;5.072;1
9;-2.7;2.46;14.873;1
10;2.55;1.53;13.254;1
11;-4.2;-3.434;10.63;1
12;2.334;2.315;10.973;1
13;4.02;-0.9;22.86;1
14;-4.242;-3.312;13.636;1
15;-3.423;-3.076;6.489;1
