Number,X,Y,R1,Desirability,Real,MAE,M1,M2,M3,M4
1,3.584,-1.852,0.0,1.0,0.00024154035199998926,0.00024154035199998926,3.896018480448983,8.102444692807227,7.500768627280807,0.0040000000000000036
2,-3.777,-3.285,0.001,1.0,0.00057372206600001,0.00042627793399999006,8.594123224622741,6.489209505016771,0.0028284271247461927,7.499952666517303
3,-2.801,3.132,0.0,1.0,0.000572678976999919,0.000572678976999919,5.910416651979791,0.004123105625617745,6.489122359764839,8.097445584874281
4,3.001,2.002,0.0,1.0,0.00014508801699998657,0.00014508801699998657,0.0022360679774995436,5.914750797793598,8.596489108932785,3.893891241419051
RESUMEN,,,,,0.00014508801699998657,0.0003463963199999712,0.0022360679774995436,0.004123105625617745,0.0028284271247461927,0.0040000000000000036
