Number,X,Y,R1,Desirability,Real,MAE,M1,M2,M3,M4
1,3.593,-1.879,0.016,1.0,0.016226458082000052,0.0002264580820000514,3.9240654938469106,8.12616170156612,7.504505313476699,0.03228002478313784
2,3.018,2.007,0.015,1.0,0.015420135376999843,0.0004201353769998431,0.019313207915827815,5.930489440172709,8.612973296138795,3.8963291698725873
3,-2.811,3.131,0.001,1.0,0.0011321137619999223,0.00013211376199992225,5.92004070931949,0.005999999999999783,6.486633949900364,8.10471874897581
4,-3.779,-3.266,0.012,1.0,0.012818970817000066,0.0008189708170000653,8.584031512057724,6.4707252298332065,0.016999999999999904,7.498299340517154
5,3.569,-1.801,0.04,1.0,0.03911755632200018,0.0008824436779998196,3.843352963234056,8.059311384975766,7.495960778979569,0.049335585534176225
6,3.03,1.951,0.045,1.0,0.04416224280099985,0.0008377571990001512,0.05745432968889274,5.9531189304431,8.588203362752887,3.8391818138764937
7,2.977,2.052,0.043,1.0,0.04253808345700035,0.00046191654299964496,0.056859475903318094,5.881816471125226,8.608470305460779,3.9469543954801405
8,-2.767,3.133,0.046,1.0,0.04676974424200007,0.0007697442420000686,5.877242380572712,0.038052595180881166,6.495321393125979,8.071280071958846
9,-3.767,-3.309,0.048,1.0,0.04739161688200063,0.0006083831179993712,8.601033077485518,6.511454829759629,0.028635642126552934,7.494779649862963
RESUMEN,,,,,0.0011321137619999223,0.0005731025353332153,0.019313207915827815,0.005999999999999783,0.016999999999999904,0.03228002478313784
