Number,X,Y,R1,Desirability,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Real,MAE,M1,M2,M3,M4
1.0,-3.112,1.389,-138.447,1.0,,,,,,66.961644336977,205.408644336977,6.142464082109068,1.7688451034502708,4.719372098065588,7.437377562017407
2.0,-0.423,-4.576,-98.111,1.0,,,,,,419.7730288132169,517.8840288132169,7.4135487453715445,8.066707692733138,3.596468406645608,4.847476972611628
3.0,0.42,-2.48,-691.826,1.0,,,,,,177.17032912,868.99632912,5.169796901233162,6.471780744122903,4.2750918118796,3.226502750657436
4.0,-3.6,-2.4,-1457.1,1.0,,,,,,23.6192,1480.7192,7.932212806020776,5.587842696425875,0.9009605984725414,7.205175917352747
5.0,5.85,-0.884,-19.032,1.0,,,,,,499.1444069299358,518.1764069299359,4.054621560639167,9.54092500756609,9.923348326043987,2.4625295937308036
6.0,-4.8,-4.034,-837.406,1.0,,,,,,84.10516060033599,921.511160600336,9.861498669066481,7.4375567224727765,1.2674549301651714,8.66429754798391
7.0,5.7,-2.91,9.939,1.0,,,,,,396.5980576100001,386.6590576100001,5.60340075311413,10.43209978863316,9.486335962846772,2.367551477793038
8.0,-1.8,0.66,-595.201,1.0,,,,,,120.37318735999999,715.57418736,4.983532883407111,2.6675580593494117,4.411767219607127,5.939488193438893
9.0,-3.24,-3.6,-1397.873,1.0,,,,,,24.22808575999998,1422.10108576,8.384366404207297,6.745041586232067,0.625307924146176,7.045316174594295
10.0,0.653,0.311,-96.608,1.0,,,,,,144.386761611122,240.99476161112202,2.891561861693434,4.462080680579409,5.70608972940314,3.6403354241058614
11.0,1.773,-2.543,-135.619,1.0,,,,,,109.68622262264199,245.305222622642,4.705781337886409,7.2905665074807455,5.60109846369442,1.9397798844198795
12.0,-3.567,-5.562,-44.517,1.0,,,,,,429.6239725934571,474.1409725934571,10.01545470760065,8.726333307867629,2.288839225459054,8.05795240740475
13.0,-5.692,-1.882,-22.81,1.0,,,,,,464.6318712002721,487.4418712002721,9.51949515468126,5.7848887629754815,2.3711537276186885,9.276062311131808
14.0,-0.507,-0.582,-805.663,1.0,,,,,,179.638695964577,985.301695964577,4.354971067642126,4.36659741675369,4.242803907794938,4.282410185864965
15.0,-2.857,0.497,-628.238,1.0,,,,,,97.83010600368202,726.068106003682,6.046772527555506,2.6345132377727767,3.890820479024957,6.8545974352984445
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RESUMEN,,,,,,,,,,23.6192,679.7521820350812,2.891561861693434,1.7688451034502708,0.625307924146176,1.9397798844198795
