Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,0.879,-4.0,18.828,0.746,12.09571831898968,6.732281681010319,2.232720761761309
2,0.827,-4.0,18.837,0.746,25.211458319571552,6.374458319571552,4.022402888821556
3,0.975,-4.0,18.859,0.745,37.87520475636941,19.01620475636941,1.4843180252223578
4,4.0,-0.181,18.995,0.742,19.08306047757453,0.08806047757452973,0.34584534115699755
5,4.0,-0.133,19.002,0.742,37.33000000000001,18.328000000000014,4.162931659299729
6,4.0,-0.289,19.027,0.742,34.299660112501044,15.272660112501043,4.525483399593905
7,4.0,0.004,19.095,0.74,40.361716956894256,21.266716956894257,1.533101431738944
8,0.904,-1.545,20.772,0.706,23.13920466520979,2.3672046652097904,4.01100049862874
9,0.958,4.0,22.086,0.679,36.93412045216233,14.848120452162334,2.691554383622965
10,1.0,4.0,22.091,0.678,32.64441691039328,10.553416910393281,4.1962364089741175
11,0.908,4.0,22.091,0.678,19.96471372578589,2.1262862742141095,4.153841595439094
12,1.049,4.0,22.109,0.678,6.541218652925179,15.567781347074824,1.9993679001124331
13,-4.0,-1.242,24.901,0.62,22.698055638473498,2.2029443615265016,1.4490472732109192
14,-4.0,-1.2,24.909,0.62,26.59745939634271,1.6884593963427115,4.07339232090404
15,-4.0,-1.45,25.097,0.616,21.289009235804958,3.8079907641950435,0.5102489588426418
RESUMEN,,,,,6.541218652925179,9.349372431669314,0.34584534115699755
