Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,-1.171,-1.901,18.377,1.0,12.09571831898968,6.281281681010318,2.232720761761309
2,-3.85,-1.165,17.136,1.0,25.211458319571552,8.075458319571553,4.022402888821556
3,-0.36,-1.44,1.651,1.0,37.87520475636941,36.22420475636941,1.4843180252223578
4,0.28,-0.203,6.947,1.0,19.08306047757453,12.136060477574532,0.34584534115699755
5,-3.8,-1.7,18.254,1.0,37.33000000000001,19.07600000000001,4.162931659299729
6,3.2,-3.2,-19.649,1.0,34.299660112501044,53.948660112501045,4.525483399593905
7,1.48,0.4,5.164,1.0,40.361716956894256,35.197716956894254,1.533101431738944
8,1.125,3.85,16.13,1.0,23.13920466520979,7.00920466520979,4.01100049862874
9,0.332,-2.671,-9.53,1.0,36.93412045216233,46.464120452162334,2.691554383622965
10,1.78,3.8,16.857,1.0,32.64441691039328,15.787416910393283,4.1962364089741175
11,1.12,-4.0,19.835,1.0,19.96471372578589,0.1297137257858907,4.153841595439094
12,1.996,-0.116,-8.101,1.0,6.541218652925179,14.64221865292518,1.9993679001124331
13,-0.077,-1.447,-4.748,1.0,22.698055638473498,27.4460556384735,1.4490472732109192
14,3.005,-2.75,-30.515,1.0,26.59745939634271,57.112459396342715,4.07339232090404
15,0.505,0.073,8.885,1.0,21.289009235804958,12.404009235804958,0.5102489588426418
RESUMEN,,,,,6.541218652925179,23.46230539873459,0.34584534115699755
