Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,4.0,-0.112,18.717,0.748,12.09571831898968,6.621281681010318,2.232720761761309
2,4.0,-0.195,18.736,0.748,25.211458319571552,6.475458319571551,4.022402888821556
3,0.913,-4.0,19.047,0.741,37.87520475636941,18.828204756369413,1.4843180252223578
4,1.049,-4.0,19.109,0.74,19.08306047757453,0.02593952242547104,0.34584534115699755
5,0.886,-1.604,20.522,0.711,37.33000000000001,16.808000000000014,4.162931659299729
6,0.987,4.0,23.934,0.64,34.299660112501044,10.365660112501043,4.525483399593905
7,1.049,4.0,23.944,0.64,40.361716956894256,16.417716956894257,1.533101431738944
8,1.08,4.0,23.956,0.64,23.13920466520979,0.8167953347902106,4.01100049862874
9,-4.0,-1.255,24.7,0.624,36.93412045216233,12.234120452162333,2.691554383622965
10,-4.0,-1.2,24.714,0.624,32.64441691039328,7.930416910393284,4.1962364089741175
11,4.0,4.0,31.197,0.49,19.96471372578589,11.232286274214108,4.153841595439094
12,-4.0,4.0,32.175,0.47,6.541218652925179,25.63378134707482,1.9993679001124331
RESUMEN,,,,,6.541218652925179,11.115805138950568,0.34584534115699755
