Number;X;Y;R1;Desirability
1;-1.171;-1.901;18.377;1
2;-3.85;-1.165;17.136;1
3;-0.36;-1.44;1.651;1
4;0.28;-0.203;6.947;1
5;-3.8;-1.7;18.254;1
6;3.2;-3.2;-19.649;1
7;1.48;0.4;5.164;1
8;1.125;3.85;16.13;1
9;0.332;-2.671;-9.53;1
10;1.78;3.8;16.857;1
11;1.12;-4;19.835;1
12;1.996;-0.116;-8.101;1
13;-0.077;-1.447;-4.748;1
14;3.005;-2.75;-30.515;1
15;0.505;0.073;8.885;1
