Number;X;Y;R1;Desirability
1;4;-0.112;18.717;0.748
2;4;-0.195;18.736;0.748
3;0.913;-4;19.047;0.741
4;1.049;-4;19.109;0.74
5;0.886;-1.604;20.522;0.711
6;0.987;4;23.934;0.64
7;1.049;4;23.944;0.64
8;1.08;4;23.956;0.64
9;-4;-1.255;24.7;0.624
10;-4;-1.2;24.714;0.624
11;4;4;31.197;0.49
12;-4;4;32.175;0.47
