Number,X,Y,R1,Desirability,Real,MAE,Dist_Minimo
1,-2.463,-2.462,0.946,1.0,12.09571831898968,11.149718318989681,2.232720761761309
2,-2.4,-3.6,-38.395,1.0,25.211458319571552,63.60645831957156,4.022402888821556
3,-1.95,-2.39,6.262,1.0,37.87520475636941,31.613204756369413,1.4843180252223578
4,2.698,-0.922,4.96,1.0,19.08306047757453,14.12306047757453,0.34584534115699755
5,-2.72,-2.603,-1.495,1.0,37.33000000000001,38.82500000000001,4.162931659299729
6,2.88,-1.2,5.912,1.0,34.299660112501044,28.387660112501045,4.525483399593905
7,-2.651,-2.195,3.527,1.0,40.361716956894256,36.834716956894255,1.533101431738944
8,3.1,-0.67,4.368,1.0,23.13920466520979,18.771204665209787,4.01100049862874
9,2.905,-1.127,5.289,1.0,36.93412045216233,31.64512045216233,2.691554383622965
10,2.805,-0.75,4.105,1.0,32.64441691039328,28.53941691039328,4.1962364089741175
11,2.675,-0.425,5.114,1.0,19.96471372578589,14.85071372578589,4.153841595439094
12,-2.2,-2.5,2.205,1.0,6.541218652925179,4.3362186529251785,1.9993679001124331
13,0.101,-3.998,-0.07,1.0,22.698055638473498,22.7680556384735,1.4490472732109192
14,-2.771,-2.301,2.881,1.0,26.59745939634271,23.71645939634271,4.07339232090404
15,3.08,-0.4,5.665,1.0,21.289009235804958,15.624009235804959,0.5102489588426418
RESUMEN,,,,,6.541218652925179,25.652734507933207,0.34584534115699755
