ROUNDS,MAE,Distance
R0,0.0,1.3453624047073711
R1,950732.4516906728,1.0816713918746304
R2,371118.1698164771,1.2671089140243628
R3,61330.16965627173,1.2671089140243628
R4,41113.02197685821,1.7688255990911033
R5,62651.6603508688,1.5495692949978068
R6,42177.17168075976,1.2671089140243628
R7,44017.61925978285,1.2671089140243628
R8,24298.41864170779,1.5041608956491324
